tweet_id,text,true_intent,should_escalate,ideal_reply
207228,@SpotifyCares Spotify randomly switches to a device named spotiamb2.0 and pauses the device I am playing on.  It happens on my PC and phone.,,,
649927,"@115888 DM me, I have a customer support question!",,,
1008652,@115888 Could you please add Apple Safari support for the Web Player?,,,
1713306,"@115888 I have a game changing idea for you! Can be the next big thing. Got me a HD in my project, hmu. @240986 you motivate me brother.",,,
1427808,"@SpotifyCares That post is from 5 years ago, and I already voted for this 2 years ago. Doesn’t feel like anything is changing.",,,
1084314,@SpotifyCares Are you hiring? Do I have to apply for a software developer position and quit after a day or 2 to get this done?,,,
839933,@SpotifyCares question! I already have a Spotify premium acct but didn't know about the student discount. Any way to add that onto my acct?,,,
378067,@SpotifyCares Why isn’t Broke with expensive taste by Azealia Banks available anymore? Did she or Spotify take it down or is it my phone?,,,
1684804,@SpotifyCares hi. I dropped you a DM.,,,
2734587,@SpotifyCares Some are some aren't,,,
1388099,"Hey @115888, your Android app battery usage in idle state is getting out of your hands. The app was not used but it is still one of the hungriest. https://t.co/1NKtjc1qbO",,,
859675,@SpotifyCares Thank you!,,,
1096199,@SpotifyCares Come on,,,
2078345,"@SpotifyCares hello, I got charged twice this month. Once 4.99$ which is monthly and one random 9.99$. What is this?",,,
2005872,Hi @118266 proses verifikasi akun premium pelajar dibutuhkan berapa lama?,,,
2714735,"Forgot my username and Email address, have my card on file what can I do @SpotifyCares",,,
1750793,@115888 why is it impossible for me to sign up to your website??,,,
2484141,"@SpotifyCares I no longer have Facebook so I cant access Contact Form, Community, or LOGIN. I want to delete my account. Please advise ASAP",,,
1917049,I’ve been trying to activate my Hulu on Spotify for that student deal for almost an hour now and I’ve had it honestly @SpotifyCares HELP!!,,,
829602,"@SpotifyCares Everything else works, it's just that the music won't play.",,,
89521,2 times in the last week @spotifycares has prompted me to update my password.  The most recent time your system rejects my attempt to update my password for my locked out premium account.  Wtf?,,,
1011220,i hope rainz music gets added to spotify,,,
1652629,"@SpotifyCares I've tried that, I've also uninstalled and reinstalled which didn't help, but when I try my music without wifi on there's no distortion",,,
573218,Why is @254722 cut out of hootie and the blowfish's profile pic @115888? https://t.co/r26tB51kMR,,,
2910933,is @115888 down or is my phone being stupid???,,,
2121356,There are some ads on @115888 that make me cringe so much I have to mute my headphones. ASMR is not a good advertisement strategy,,,
590127,@SpotifyCares my daughter has deactivated Facebook and cannot log on to Spotify. Have activated facebook but still cannot logon. What to do?,,,
32069,"@117153 unable to make payment for my premium account, nothing wrong with my card as checked with the bank.",,,
1221315,@SpotifyCares THANK YOU!!  👏🏻💃🏼👏🏻,,,
2686974,"@spotifycares im having an issue 
The last few months I’ve been overcharged and I’m a student.",,,
1948846,Hey @SpotifyCares! When will u add a filter for explicit content? Many of your subscribers want this. Thanks! https://t.co/xYq7hVBgn4,,,
2203719,@115888 why don’t you have Faith Hill’s “where are you Christmas?” Available for me to add to my Christmas playlist,,,
1850474,Crying. https://t.co/duKSEzHwfO,,,
1872485,@SpotifyCares Fix your algorithm on Discover Weekly and Release Radar. It's kinda suck now.,,,
909951,"@SpotifyCares after FINALLY letting my desktop install Win 10 Creators Update, my music in spotify keeps pasuing every 30 secs or so! #MAD",,,
466099,"@SpotifyCares @117153 @115888 why don't the music we save get saved either in the order we save them or by the album release date? And also, why make the whole album visible when we enter and artist? 😓😧",,,
1280109,@SpotifyCares Do something we're not taking it this time around,,,
2748528,Hey @115888 hmu when I can permanently ban songs instead of just 👎🏼 only for it to continue to play 🙄,,,
1834566,"@SpotifyCares Galaxy s7 active, andriod https://t.co/wtAZr6nNUP",,,
203108,"@115888 uhh, why you won't add ""Clear Queue"" button?",,,
2681454,@SpotifyCares 1.0.65.320.gac7a8e02 macOS,,,
206583,@115888 @SpotifyCares,,,
1695010,Is @115888 down or something. Ive been logged out and getting errors the last hour,,,
1064086,"@SpotifyCares I just reinstalled the app and it started working ok for now. If it start acting weird again I'll contact you, thank you!",,,
2834979,@SpotifyCares any way to get play/pause button working again with OSX 10.13?,,,
647109,"@SpotifyCares Also realized it isn't even playing the 2 most recent albums, only the top 10 songs. And it is putting some of them 4x in a row.",,,
2929214,@115888 I need at least 3 to complete my playlist this is vital,,,
1683030,@SpotifyCares swiping to queue rarely ever works in offline mode (been like this forever ) https://t.co/seQ0OD4QYH,,,
1718814,"@SpotifyCares Hi my Spotify isn’t showing on my iPhone lock screen anymore, can you help?",,,
633988,Wow @115888 all my playlists were deleted and my password was changed and it says my email doesnt exist. I've had my account for years!! what is going on?!,,,
1492583,@SpotifyCares Please answer my DM!,,,
2294328,@SpotifyCares Hi! I can't log to my account because I lost access to my Facebook and they blocked it... Some help please?,,,
1971347,@115888 You can't use paypal for payment?,,,
1960913,@115888 I just want to know who's folllowing my playlists,,,
504267,@SpotifyCares Please help!,,,
155365,"@115888 please bring us a follower feed like @126654 has had for years 🙏🏿The trash music you guys recommend is not something I want to hear. I know what I want to hear, which is why I followed the artists.",,,
2000930,Why is Clubmix 2007 not on Spotify? I want to pretend I’m 19 again 😂,,,
2442026,@SpotifyCares Como mando pra vocês,,,
2431663,@SpotifyCares Hey guys! Is the #iPhoneX update incoming? Losing tabs occasionally as it is.,,,
785026,Hey @SpotifyCares can you help me with error 600,,,
2541823,@SpotifyCares It still says unsupported even after going incognito,,,
278132,@SpotifyCares what does the Red Download sign mean,,,
656479,@SpotifyCares best way to reorganize playlist order in sidebar? Desktop app seems cumbersome. Any suggestions appreciated https://t.co/GXhxvM832H,,,
617468,@SpotifyCares ho pagato due volte l’account premium con @115993  e non ha funzionato neanche una volta.,,,
2535442,"@SpotifyCares Hi, I have Spotify premium and all of my playlists have disappeared. It also randomly plays music which I haven't chosen to play and says it is connected to another device. Please help
Anna",,,
2095068,@SpotifyCares Thanks for the attention you give me :) I live in France,,,
1301043,"@115888 Now, when Harry Styles is solo artist can you add ""Don't let me go"" ? ❤️",,,
1353861,@SpotifyCares Using a LAN connection.,,,
1026514,@SpotifyCares it didn’t work 😢,,,
203065,"@SpotifyCares iphone 5s, the latest version 8.420",,,
617456,"@118266 untuk bikin jdi premium akun  melakukan pembayaran by mobile perlu ada pulsa sebesar 50.000 dlu ya, atau gmna ?",,,
2264872,@115888 is there display difference from device to device ? i downloaded to my android phone  and looks different than what my tablet does. want to know why !!!!!!!!!!!,,,
1796839,@SpotifyCares  How can I pay in advance for premium family subscription? thanks,,,
1568973,"@115888 I followed a playlist, Indie Electronica
which then became Lush and Atmospheric
then Lush and Atmospheric Acoustic
then I unfollowed.",,,
1791316,Why is X’s music getting removed from @115888??,,,
2019455,@117153 I have payed my Spotify premium monthly for several years but suddenly I only get Spotify free. What has happened?,,,
240331,"@SpotifyCares I have a problem with Shuffle, it doesn't work in my car (Mazda 6 2014)..  when I connect, the shuffle sign turns off..",,,
2439883,@115888 where’s #reputation at?,,,
664261,@SpotifyCares Woop it worked thanks ❤,,,
2239775,Why doesn’t @115888 have Reputation yet?,,,
2027653,@117153 Where's my tunes? :(,,,
2843563,@115888 What happened to #housewerk?! Bring back cross-fades!,,,
973437,"@SpotifyCares Even if I try to put in a row of songs, it gives the error can't put it in waiting row. Very weird bug. https://t.co/OzRGko0Y4U",,,
1075636,@115888 why don’t you guys have scrolling titles on iOS? I don’t know who on the song!!!,,,
2916678,Is @115888 down this morning?,,,
1860280,@115888 are DW playlists now only updated every other week? :(,,,
1609242,@SpotifyCares Just an example but problem is specific to #Chromecast and exists for all albums https://t.co/lxX2gIf5Qv,,,
2216040,"@115888 fix your 10,000 song cap! Why would you put a limit on music saved and hype up new releases every Friday?!!?",,,
2095109,"@SpotifyCares okay, here it's happening again: https://t.co/K8yCvOe0om",,,
1159721,"@SpotifyCares I keep having playback problems, every few tracks playback will stop for no apparent reason and need manually restarting",,,
1339983,@115888 can you please add the ability to remove artists from your generated playlists. Its pretty stupid you dont have this.,,,
1930247,"@SpotifyCares how do I connect my Spotify to Facebook? ATM I receive 'Sorry there has been a temporary error, please try again late'",,,
315358,@SpotifyCares thanks guys!,,,
189940,@115888 I’m a student and wasn’t able to register it kept telling me I wasn’t,,,
1699012,@SpotifyCares Y'all fuckers should fix it k,,,
2914427,"@SpotifyCares Yeah, continually saying I'm offline, or just saying error whenever I try to load a page",,,
2588872,"@SpotifyCares Hi, it was actually on the webplayer...",,,
2121310,@SpotifyCares Fingers crossed! Thanks for the quick response!,,,
2251414,"@SpotifyCares Had issues since iOS 11, currently running 11.1.1 with Spotify version 8.4.26.793. The bottom menu comes and goes randomly. 

Doesn’t always do it",,,
30606,@117153 @SpotifyCares Having issues w/playback and BT readout on phone since past two updates. HELP!,,,
2114196,@84378 @115888 @115888 is steady fucking up. removing users fave features and fucking up the algorithms. dummmmb,,,
2770906,@115888 when are you lunching spotify in Saudi Arabia,,,
2752841,How did that get past the development stage? @115888 https://t.co/sSAiPVZLK9,,,
1935350,@SpotifyCares me ayudan con mi cuenta de @115888 por favor,,,
551294,Hello! @SpotifyCares sent a DM about 1 hour ago. When can we expect an answer? Many thanks! I have an anxious 7 year old waiting over here 😅,,,
1986665,"@115888 Can you help me cancel free trail of premium. Spotify ap says I am premium free trial, web page says I can sign up for free trial,",,,
1364984,"@SpotifyCares 8.4.23.784 version Spotify
Samsung Galaxy S6
Android v7.0",,,
376886,@SpotifyCares I've reinstalled. Soft reset.,,,
187557,@SpotifyCares reveal your identity 😫❤️,,,
1899540,"@SpotifyCares if I upgrade from premium to premium w/ family, am I only charged the difference in the two plans since I just recently paid?",,,
1998400,"Hey @SpotifyCares, when’s the iPhone X optimized update coming?",,,
2595638,@SpotifyCares There we go! Thanks for the update 🎧,,,
1376194,@SpotifyCares do you guys still accept visa gift cards to pay premium I was using one with enough money and now it isn't working,,,
1270561,@115888 why are you playing 20 suggested songs in a row and why are they all fucking gorillaz every time this happens?,,,
789476,"@115888 
PUT AGUST D BACK ON SPOTIFY!! 
YOU TOOK IT OFF FOR NO REASON!!!",,,
623001,@115888 Cant pay in any way possible,,,
2919325,@SpotifyCares literally have more problems with your app than any other app on my phone. At least once a week the whole thing crashes and I either need to close down the app or completely delete it and re-download it,,,
293863,"@SpotifyCares Hey there, I'm having difficulties about my student subscription. I paid but not renewed. Can I get help?",,,
184364,@SpotifyCares I see a new release tab ... this is not tailored for the user and is a ton of pop music I would never listen to,,,
994605,@SpotifyCares No those options do not come up... device or sim.. and my sim is mounted and accessible to other apps??,,,
2218830,Why isn't _Reputation_ on @115888 yet?! This is negatively impacting my productivity. #SeriousScholar #TeamTayTay #LookWhatYouMadeMeDo,,,
2380900,@SpotifyCares I still do see it when I go to “edit profile”,,,
364160,"@SpotifyCares @202311 You can see it says ""confirmation, about to join the family plan of...""",,,
2319370,@SpotifyCares Damn shame... that feels like a missed opportunity for a great #featurerequest !,,,
171105,@115888 Is that like 9kr a month or all three months for 9kr? Need to know for research purposes.,,,
2733028,@SpotifyCares I HAVE BEEN TRYING TO CANCEL MY SUBSCRIPTION FOR MONTHS UNABLE TO CONTACT YOU PLEASE CANCEL ACCT FOR ROBIN MEAD @766074  LAST FOUR # CC 5558 DO THIS IMMEDIATELY. THANK YOU ROBIN MEAD,,,
583085,"@115888 @SpotifyCares If it doesn't exist, please may I ask for this to be developed asap? It'd make life so much easier than being given a global search result.",,,
2182147,@118266 hallo kak saya ingin mengajukan kerja sama dengan spotify indonesia untuk menjadi sponsor di event kami. kalau boleh tau bisa menghubungi kemana ya untuk mengajukan proposal? terimakasih,,,
1902558,"@SpotifyCares recommendations like weekly discovery and daily mix are accurate, but announcements like “románticas en español” don’t",,,
1103019,"Dear @115888 

I want a “don’t ever fucking play this song/band/artist again” button. A blacklist. “Click here to add to blacklist.”",,,
1486686,Feature Request: ability to switch to a new playlist after the current song (instead of stopping it and switching immediately) on @115888,,,
1974390,"@115888 I signed up for a Premium account w/ Student discount, my cc was charged but my account still says free account. Help!",,,
172452,"@SpotifyCares iPhone 7, OS 11.1.1",,,
1250432,@115888 have y’all ever thought about checking people to see if they’re still in school for the $4.99 discount?,,,
974523,@SpotifyCares My concern is I won't know a song is censored until a minute into the song when a word is *bleeped* or muted and I have to go search again😞,,,
1966719,@SpotifyCares Anything??? x,,,
2921970,"@SpotifyCares Nothing is really “happening,” I just don’t feel like it’s a well-designed tablet app. It’s just a big phone app. The desktop interface would fit the iPad Pro much better.",,,
1961793,"@SpotifyCares I bought Premium on my account.
On my account settings it says i’ve Premium but it says in have the Free version (iOS/Mac app)",,,
2981104,@SpotifyCares spotify 8.4.28 ios 11.1,,,
2422812,@SpotifyCares @676265 when will it be available?,,,
2363312,Why isn’t @10932 #NRACountry on @115888?!? #Spotify,,,
2516187,So @SpotifyCares why does Spotify stop skipping songs at some point even tho I'm a premium memeber? I thought I had unlimited skips? And do not ask for my account info(like every other time) you do not need it for this issue it's your system messing up I'm up2date just fix it pls,,,
288532,@SpotifyCares representation for your brand as well,,,
1527847,@115888 what’s up with the bottom tabs being covered? Can’t navigate. iOS 11.1 https://t.co/6UPqyMviJy,,,
1841080,@115888 are you going to get an Apple Watch app?  Only reason I don’t have your service.,,,
2293440,@SpotifyCares hi I've messaged you please help!!!!,,,
2790780,"@SpotifyCares you seem to have some issues with parts of your spotifycom domain. Getting frequent 504, 502, and 501",,,
