tweet_id,text,predicted_intent,escalation_decision,drafted_reply
250100,@SpotifyCares https://t.co/PAbwGNKgkT cheers,General Inquiry,Auto-handle,Hi there! Thanks for reaching out. Send us a DM with more info so we can help you sort this out. /AY
1064065,"@SpotifyCares You recognize there is an issue right now, at least, or have you fixed it already?",General Inquiry,Auto-handle,Hi there! Thanks for reaching out. Send us a DM with more info so we can help you sort this out. /AY
944597,@115888 AND when you give a song a thumbs down it dissappear so you can't undo it.,General Inquiry,Auto-handle,Hi there! Thanks for reaching out. Send us a DM with more info so we can help you sort this out. /AY
1665434,@SpotifyCares Seems that I get a receipt every 3 months and I am charged every month. Would it be possible that I get a bill every month?,Billing/Premium Subscription,Auto-handle,Hi there! We'd love to look into your account details. Please send us a DM with the email address linked to your account so we can help. /MU
867555,@SpotifyCares Can you please stop trying to shove Post Malone down my throat please? Thank you.,Playback/Skipping Issue,Auto-handle,"Hi there! Sorry to hear about the playback trouble. Could you try logging out, restarting your device, and logging back in? Let us know how it goes! /AY"
1847480,"@SpotifyCares i do, yes. im from the united arab emirates",General Inquiry,Auto-handle,Hi there! Thanks for reaching out. Send us a DM with more info so we can help you sort this out. /AY
1933000,"@SpotifyCares Hi there! We have a family premium plan. My son signed up ok, but my wife can't seem to make it work. Can you help?",Billing/Premium Subscription,Auto-handle,Hi there! We'd love to look into your account details. Please send us a DM with the email address linked to your account so we can help. /MU
2337992,Where the fuck is super slimey @115888,General Inquiry,Auto-handle,Hi there! Thanks for reaching out. Send us a DM with more info so we can help you sort this out. /AY
842552,"@SpotifyCares Logging out and back again worked! I had tried the restarting stuff but not that, just feeling silly now xD thanks :)",General Inquiry,Auto-handle,Hi there! Thanks for reaching out. Send us a DM with more info so we can help you sort this out. /AY
649921,@117168 @29783 Why can’t I watch the video? It just tells me error and it doesn’t show up in the list of videos.,General Inquiry,Auto-handle,Hi there! Thanks for reaching out. Send us a DM with more info so we can help you sort this out. /AY
2287579,@SpotifyCares Are you guys ever going to increase the download limit?,General Inquiry,Auto-handle,Hi there! Thanks for reaching out. Send us a DM with more info so we can help you sort this out. /AY
1487926,@SpotifyCares Hey hey! This is all that's coming when i try to manage my family account or add members... Blankness? https://t.co/Q9EYQkpvEt,Login/Account Access,Auto-handle,Hi there! Thanks for reaching out. Send us a DM with more info so we can help you sort this out. /AY
385729,@SpotifyCares How can i hide certain playlists from Discover Weekly algorithm? I have some I like but don;t want them to influence DW,General Inquiry,Auto-handle,Hi there! Thanks for reaching out. Send us a DM with more info so we can help you sort this out. /AY
1848050,@115888 Your chromecast integration is broken and doesn't respect playlist ordering. Skips back to # 1 after a song finishes. :(,Playback/Skipping Issue,Auto-handle,"Hi there! Sorry to hear about the playback trouble. Could you try logging out, restarting your device, and logging back in? Let us know how it goes! /AY"
2720903,@117168 WHY AM I GETTING BABY JOGGER ADS??! I DO NOT WANT BABIES MAKE IT STOP,Playback/Skipping Issue,Auto-handle,"Hi there! Sorry to hear about the playback trouble. Could you try logging out, restarting your device, and logging back in? Let us know how it goes! /AY"
468375,@SpotifyCares I'm trying to update my payment information and it keeps kicking me to Spotify for Students. I'm no longer a student; I just want to update my payment info for a premium account. I think this is a website bug,Billing/Premium Subscription,Auto-handle,Hi there! We'd love to look into your account details. Please send us a DM with the email address linked to your account so we can help. /MU
141141,@115888 @115888 how to avail??,General Inquiry,Auto-handle,Hi there! Thanks for reaching out. Send us a DM with more info so we can help you sort this out. /AY
1848084,@SpotifyCares know why my phone library just got wiped out? Only things saved are playlists,General Inquiry,Auto-handle,Hi there! Thanks for reaching out. Send us a DM with more info so we can help you sort this out. /AY
2816732,"Would love 2 hear #Worship Bridgette Hammers #BreakingFree added @115888 #Playlist  ""Top Christian""  https://t.co/vtbLBLGmxF  @108044 https://t.co/OcpIonFKJJ",General Inquiry,Auto-handle,Hi there! Thanks for reaching out. Send us a DM with more info so we can help you sort this out. /AY
51765,"@SpotifyCares Obviously they don't work. found workaround: Sort albums/artists by ""name"" then go back to ""songs"" &amp; shuffle again. THIS IS NOT IMPROVEMENT!",General Inquiry,Auto-handle,Hi there! Thanks for reaching out. Send us a DM with more info so we can help you sort this out. /AY
1244054,"@SpotifyCares I’m using the iOS app, version 8.4.22",Device Compatibility,Auto-handle,Hi! What device and operating system are you using? Drop us the details so our team can check this out for you. /CP
2912,@115888 how?,General Inquiry,Auto-handle,Hi there! Thanks for reaching out. Send us a DM with more info so we can help you sort this out. /AY
707054,@SpotifyCares Any idea why your Android app occasionally wipes out every download? Now redownloading about 1600 songs. Not the first time.,Device Compatibility,Auto-handle,Hi! What device and operating system are you using? Drop us the details so our team can check this out for you. /CP
688088,@115888 why do i still have to listen to ads and suggested songs when im just tryna mourn lil peep,General Inquiry,Auto-handle,Hi there! Thanks for reaching out. Send us a DM with more info so we can help you sort this out. /AY
2077438,@SpotifyCares There are tracks featured on my Spotify which I did not write. Have been in contact already but no sign of solution or care.,General Inquiry,Auto-handle,Hi there! Thanks for reaching out. Send us a DM with more info so we can help you sort this out. /AY
2975085,hi please release all of the tracks of reputation or you’re cancel @118062 @115888,General Inquiry,Auto-handle,Hi there! Thanks for reaching out. Send us a DM with more info so we can help you sort this out. /AY
2667487,"@SpotifyCares Cool, thanks!",General Inquiry,Auto-handle,Hi there! Thanks for reaching out. Send us a DM with more info so we can help you sort this out. /AY
172478,"@SpotifyCares Hey thanks for the reply! iOS 11.1.2, Spotify 8.4.28.1104

Looks like this is the breaking point for the UI (everything below that size seems fine but I didn’t do a thorough QA): https://t.co/asCDrMIHKd",Device Compatibility,Auto-handle,Hi! What device and operating system are you using? Drop us the details so our team can check this out for you. /CP
1761831,"@SpotifyCares Dont give me that automated crap If you were listening, this shoddy music verifying would have been sorted out back in '06 when you launched",General Inquiry,Auto-handle,Hi there! Thanks for reaching out. Send us a DM with more info so we can help you sort this out. /AY
1811313,@147836 Can you PLEASE add an explicit filter to Spotify?  I really don't understand how this hasn't happened yet...,General Inquiry,Auto-handle,Hi there! Thanks for reaching out. Send us a DM with more info so we can help you sort this out. /AY
2816727,@115888 Why can’t I play my welcome mix at home ?,General Inquiry,Auto-handle,Hi there! Thanks for reaching out. Send us a DM with more info so we can help you sort this out. /AY
1145863,"@115888 I switched from Groove Music to Spotify (Windows 10 Mobile). I can hardly play music. It's ""Loading..."" messages riddle the app.",General Inquiry,Auto-handle,Hi there! Thanks for reaching out. Send us a DM with more info so we can help you sort this out. /AY
470968,Morning @SpotifyCares can you suggest how I can get release radar to refresh please &amp; thank you?,General Inquiry,Auto-handle,Hi there! Thanks for reaching out. Send us a DM with more info so we can help you sort this out. /AY
207228,@SpotifyCares Spotify randomly switches to a device named spotiamb2.0 and pauses the device I am playing on.  It happens on my PC and phone.,Playback/Skipping Issue,Auto-handle,"Hi there! Sorry to hear about the playback trouble. Could you try logging out, restarting your device, and logging back in? Let us know how it goes! /AY"
649927,"@115888 DM me, I have a customer support question!",General Inquiry,Auto-handle,Hi there! Thanks for reaching out. Send us a DM with more info so we can help you sort this out. /AY
1008652,@115888 Could you please add Apple Safari support for the Web Player?,General Inquiry,Auto-handle,Hi there! Thanks for reaching out. Send us a DM with more info so we can help you sort this out. /AY
1713306,"@115888 I have a game changing idea for you! Can be the next big thing. Got me a HD in my project, hmu. @240986 you motivate me brother.",General Inquiry,Auto-handle,Hi there! Thanks for reaching out. Send us a DM with more info so we can help you sort this out. /AY
1427808,"@SpotifyCares That post is from 5 years ago, and I already voted for this 2 years ago. Doesn’t feel like anything is changing.",General Inquiry,Auto-handle,Hi there! Thanks for reaching out. Send us a DM with more info so we can help you sort this out. /AY
1084314,@SpotifyCares Are you hiring? Do I have to apply for a software developer position and quit after a day or 2 to get this done?,General Inquiry,Auto-handle,Hi there! Thanks for reaching out. Send us a DM with more info so we can help you sort this out. /AY
839933,@SpotifyCares question! I already have a Spotify premium acct but didn't know about the student discount. Any way to add that onto my acct?,Billing/Premium Subscription,Auto-handle,Hi there! We'd love to look into your account details. Please send us a DM with the email address linked to your account so we can help. /MU
378067,@SpotifyCares Why isn’t Broke with expensive taste by Azealia Banks available anymore? Did she or Spotify take it down or is it my phone?,General Inquiry,Auto-handle,Hi there! Thanks for reaching out. Send us a DM with more info so we can help you sort this out. /AY
1684804,@SpotifyCares hi. I dropped you a DM.,General Inquiry,Auto-handle,Hi there! Thanks for reaching out. Send us a DM with more info so we can help you sort this out. /AY
2734587,@SpotifyCares Some are some aren't,General Inquiry,Auto-handle,Hi there! Thanks for reaching out. Send us a DM with more info so we can help you sort this out. /AY
1388099,"Hey @115888, your Android app battery usage in idle state is getting out of your hands. The app was not used but it is still one of the hungriest. https://t.co/1NKtjc1qbO",Device Compatibility,Auto-handle,Hi! What device and operating system are you using? Drop us the details so our team can check this out for you. /CP
859675,@SpotifyCares Thank you!,General Inquiry,Auto-handle,Hi there! Thanks for reaching out. Send us a DM with more info so we can help you sort this out. /AY
1096199,@SpotifyCares Come on,General Inquiry,Auto-handle,Hi there! Thanks for reaching out. Send us a DM with more info so we can help you sort this out. /AY
2078345,"@SpotifyCares hello, I got charged twice this month. Once 4.99$ which is monthly and one random 9.99$. What is this?",Billing/Premium Subscription,Auto-handle,Hi there! We'd love to look into your account details. Please send us a DM with the email address linked to your account so we can help. /MU
2005872,Hi @118266 proses verifikasi akun premium pelajar dibutuhkan berapa lama?,Billing/Premium Subscription,Auto-handle,Hi there! We'd love to look into your account details. Please send us a DM with the email address linked to your account so we can help. /MU
2714735,"Forgot my username and Email address, have my card on file what can I do @SpotifyCares",General Inquiry,Auto-handle,Hi there! Thanks for reaching out. Send us a DM with more info so we can help you sort this out. /AY
1750793,@115888 why is it impossible for me to sign up to your website??,General Inquiry,Auto-handle,Hi there! Thanks for reaching out. Send us a DM with more info so we can help you sort this out. /AY
2484141,"@SpotifyCares I no longer have Facebook so I cant access Contact Form, Community, or LOGIN. I want to delete my account. Please advise ASAP",Login/Account Access,Auto-handle,Hi there! Thanks for reaching out. Send us a DM with more info so we can help you sort this out. /AY
1917049,I’ve been trying to activate my Hulu on Spotify for that student deal for almost an hour now and I’ve had it honestly @SpotifyCares HELP!!,General Inquiry,Auto-handle,Hi there! Thanks for reaching out. Send us a DM with more info so we can help you sort this out. /AY
829602,"@SpotifyCares Everything else works, it's just that the music won't play.",General Inquiry,Auto-handle,Hi there! Thanks for reaching out. Send us a DM with more info so we can help you sort this out. /AY
89521,2 times in the last week @spotifycares has prompted me to update my password.  The most recent time your system rejects my attempt to update my password for my locked out premium account.  Wtf?,Billing/Premium Subscription,Auto-handle,Hi there! We'd love to look into your account details. Please send us a DM with the email address linked to your account so we can help. /MU
1011220,i hope rainz music gets added to spotify,General Inquiry,Auto-handle,Hi there! Thanks for reaching out. Send us a DM with more info so we can help you sort this out. /AY
1652629,"@SpotifyCares I've tried that, I've also uninstalled and reinstalled which didn't help, but when I try my music without wifi on there's no distortion",General Inquiry,Auto-handle,Hi there! Thanks for reaching out. Send us a DM with more info so we can help you sort this out. /AY
573218,Why is @254722 cut out of hootie and the blowfish's profile pic @115888? https://t.co/r26tB51kMR,General Inquiry,Auto-handle,Hi there! Thanks for reaching out. Send us a DM with more info so we can help you sort this out. /AY
2910933,is @115888 down or is my phone being stupid???,General Inquiry,Auto-handle,Hi there! Thanks for reaching out. Send us a DM with more info so we can help you sort this out. /AY
2121356,There are some ads on @115888 that make me cringe so much I have to mute my headphones. ASMR is not a good advertisement strategy,General Inquiry,Auto-handle,Hi there! Thanks for reaching out. Send us a DM with more info so we can help you sort this out. /AY
590127,@SpotifyCares my daughter has deactivated Facebook and cannot log on to Spotify. Have activated facebook but still cannot logon. What to do?,General Inquiry,Auto-handle,Hi there! Thanks for reaching out. Send us a DM with more info so we can help you sort this out. /AY
32069,"@117153 unable to make payment for my premium account, nothing wrong with my card as checked with the bank.",Billing/Premium Subscription,Auto-handle,Hi there! We'd love to look into your account details. Please send us a DM with the email address linked to your account so we can help. /MU
1221315,@SpotifyCares THANK YOU!!  👏🏻💃🏼👏🏻,General Inquiry,Auto-handle,Hi there! Thanks for reaching out. Send us a DM with more info so we can help you sort this out. /AY
2686974,"@spotifycares im having an issue 
The last few months I’ve been overcharged and I’m a student.",Billing/Premium Subscription,Auto-handle,Hi there! We'd love to look into your account details. Please send us a DM with the email address linked to your account so we can help. /MU
1948846,Hey @SpotifyCares! When will u add a filter for explicit content? Many of your subscribers want this. Thanks! https://t.co/xYq7hVBgn4,General Inquiry,Auto-handle,Hi there! Thanks for reaching out. Send us a DM with more info so we can help you sort this out. /AY
2203719,@115888 why don’t you have Faith Hill’s “where are you Christmas?” Available for me to add to my Christmas playlist,General Inquiry,Auto-handle,Hi there! Thanks for reaching out. Send us a DM with more info so we can help you sort this out. /AY
1850474,Crying. https://t.co/duKSEzHwfO,General Inquiry,Auto-handle,Hi there! Thanks for reaching out. Send us a DM with more info so we can help you sort this out. /AY
1872485,@SpotifyCares Fix your algorithm on Discover Weekly and Release Radar. It's kinda suck now.,General Inquiry,Auto-handle,Hi there! Thanks for reaching out. Send us a DM with more info so we can help you sort this out. /AY
909951,"@SpotifyCares after FINALLY letting my desktop install Win 10 Creators Update, my music in spotify keeps pasuing every 30 secs or so! #MAD",General Inquiry,Auto-handle,Hi there! Thanks for reaching out. Send us a DM with more info so we can help you sort this out. /AY
466099,"@SpotifyCares @117153 @115888 why don't the music we save get saved either in the order we save them or by the album release date? And also, why make the whole album visible when we enter and artist? 😓😧",General Inquiry,Auto-handle,Hi there! Thanks for reaching out. Send us a DM with more info so we can help you sort this out. /AY
1280109,@SpotifyCares Do something we're not taking it this time around,General Inquiry,Auto-handle,Hi there! Thanks for reaching out. Send us a DM with more info so we can help you sort this out. /AY
2748528,Hey @115888 hmu when I can permanently ban songs instead of just 👎🏼 only for it to continue to play 🙄,General Inquiry,Auto-handle,Hi there! Thanks for reaching out. Send us a DM with more info so we can help you sort this out. /AY
1834566,"@SpotifyCares Galaxy s7 active, andriod https://t.co/wtAZr6nNUP",General Inquiry,Auto-handle,Hi there! Thanks for reaching out. Send us a DM with more info so we can help you sort this out. /AY
203108,"@115888 uhh, why you won't add ""Clear Queue"" button?",General Inquiry,Auto-handle,Hi there! Thanks for reaching out. Send us a DM with more info so we can help you sort this out. /AY
2681454,@SpotifyCares 1.0.65.320.gac7a8e02 macOS,General Inquiry,Auto-handle,Hi there! Thanks for reaching out. Send us a DM with more info so we can help you sort this out. /AY
206583,@115888 @SpotifyCares,General Inquiry,Auto-handle,Hi there! Thanks for reaching out. Send us a DM with more info so we can help you sort this out. /AY
1695010,Is @115888 down or something. Ive been logged out and getting errors the last hour,General Inquiry,Auto-handle,Hi there! Thanks for reaching out. Send us a DM with more info so we can help you sort this out. /AY
1064086,"@SpotifyCares I just reinstalled the app and it started working ok for now. If it start acting weird again I'll contact you, thank you!",General Inquiry,Auto-handle,Hi there! Thanks for reaching out. Send us a DM with more info so we can help you sort this out. /AY
2834979,@SpotifyCares any way to get play/pause button working again with OSX 10.13?,Playback/Skipping Issue,Auto-handle,"Hi there! Sorry to hear about the playback trouble. Could you try logging out, restarting your device, and logging back in? Let us know how it goes! /AY"
647109,"@SpotifyCares Also realized it isn't even playing the 2 most recent albums, only the top 10 songs. And it is putting some of them 4x in a row.",Playback/Skipping Issue,Auto-handle,"Hi there! Sorry to hear about the playback trouble. Could you try logging out, restarting your device, and logging back in? Let us know how it goes! /AY"
2929214,@115888 I need at least 3 to complete my playlist this is vital,General Inquiry,Auto-handle,Hi there! Thanks for reaching out. Send us a DM with more info so we can help you sort this out. /AY
1683030,@SpotifyCares swiping to queue rarely ever works in offline mode (been like this forever ) https://t.co/seQ0OD4QYH,General Inquiry,Auto-handle,Hi there! Thanks for reaching out. Send us a DM with more info so we can help you sort this out. /AY
1718814,"@SpotifyCares Hi my Spotify isn’t showing on my iPhone lock screen anymore, can you help?",General Inquiry,Auto-handle,Hi there! Thanks for reaching out. Send us a DM with more info so we can help you sort this out. /AY
633988,Wow @115888 all my playlists were deleted and my password was changed and it says my email doesnt exist. I've had my account for years!! what is going on?!,Login/Account Access,Auto-handle,Hi there! Thanks for reaching out. Send us a DM with more info so we can help you sort this out. /AY
1492583,@SpotifyCares Please answer my DM!,General Inquiry,Auto-handle,Hi there! Thanks for reaching out. Send us a DM with more info so we can help you sort this out. /AY
2294328,@SpotifyCares Hi! I can't log to my account because I lost access to my Facebook and they blocked it... Some help please?,Login/Account Access,Auto-handle,Hi there! Thanks for reaching out. Send us a DM with more info so we can help you sort this out. /AY
1971347,@115888 You can't use paypal for payment?,Billing/Premium Subscription,Auto-handle,Hi there! We'd love to look into your account details. Please send us a DM with the email address linked to your account so we can help. /MU
1960913,@115888 I just want to know who's folllowing my playlists,General Inquiry,Auto-handle,Hi there! Thanks for reaching out. Send us a DM with more info so we can help you sort this out. /AY
504267,@SpotifyCares Please help!,General Inquiry,Auto-handle,Hi there! Thanks for reaching out. Send us a DM with more info so we can help you sort this out. /AY
155365,"@115888 please bring us a follower feed like @126654 has had for years 🙏🏿The trash music you guys recommend is not something I want to hear. I know what I want to hear, which is why I followed the artists.",General Inquiry,Auto-handle,Hi there! Thanks for reaching out. Send us a DM with more info so we can help you sort this out. /AY
2000930,Why is Clubmix 2007 not on Spotify? I want to pretend I’m 19 again 😂,General Inquiry,Auto-handle,Hi there! Thanks for reaching out. Send us a DM with more info so we can help you sort this out. /AY
2442026,@SpotifyCares Como mando pra vocês,General Inquiry,Auto-handle,Hi there! Thanks for reaching out. Send us a DM with more info so we can help you sort this out. /AY
2431663,@SpotifyCares Hey guys! Is the #iPhoneX update incoming? Losing tabs occasionally as it is.,General Inquiry,Auto-handle,Hi there! Thanks for reaching out. Send us a DM with more info so we can help you sort this out. /AY
785026,Hey @SpotifyCares can you help me with error 600,General Inquiry,Auto-handle,Hi there! Thanks for reaching out. Send us a DM with more info so we can help you sort this out. /AY
2541823,@SpotifyCares It still says unsupported even after going incognito,General Inquiry,Auto-handle,Hi there! Thanks for reaching out. Send us a DM with more info so we can help you sort this out. /AY
278132,@SpotifyCares what does the Red Download sign mean,General Inquiry,Auto-handle,Hi there! Thanks for reaching out. Send us a DM with more info so we can help you sort this out. /AY
656479,@SpotifyCares best way to reorganize playlist order in sidebar? Desktop app seems cumbersome. Any suggestions appreciated https://t.co/GXhxvM832H,General Inquiry,Auto-handle,Hi there! Thanks for reaching out. Send us a DM with more info so we can help you sort this out. /AY
617468,@SpotifyCares ho pagato due volte l’account premium con @115993  e non ha funzionato neanche una volta.,Billing/Premium Subscription,Auto-handle,Hi there! We'd love to look into your account details. Please send us a DM with the email address linked to your account so we can help. /MU
2535442,"@SpotifyCares Hi, I have Spotify premium and all of my playlists have disappeared. It also randomly plays music which I haven't chosen to play and says it is connected to another device. Please help
Anna",Billing/Premium Subscription,Auto-handle,Hi there! We'd love to look into your account details. Please send us a DM with the email address linked to your account so we can help. /MU
2095068,@SpotifyCares Thanks for the attention you give me :) I live in France,General Inquiry,Auto-handle,Hi there! Thanks for reaching out. Send us a DM with more info so we can help you sort this out. /AY
1301043,"@115888 Now, when Harry Styles is solo artist can you add ""Don't let me go"" ? ❤️",General Inquiry,Auto-handle,Hi there! Thanks for reaching out. Send us a DM with more info so we can help you sort this out. /AY
1353861,@SpotifyCares Using a LAN connection.,General Inquiry,Auto-handle,Hi there! Thanks for reaching out. Send us a DM with more info so we can help you sort this out. /AY
1026514,@SpotifyCares it didn’t work 😢,General Inquiry,Auto-handle,Hi there! Thanks for reaching out. Send us a DM with more info so we can help you sort this out. /AY
203065,"@SpotifyCares iphone 5s, the latest version 8.420",General Inquiry,Auto-handle,Hi there! Thanks for reaching out. Send us a DM with more info so we can help you sort this out. /AY
617456,"@118266 untuk bikin jdi premium akun  melakukan pembayaran by mobile perlu ada pulsa sebesar 50.000 dlu ya, atau gmna ?",Billing/Premium Subscription,Auto-handle,Hi there! We'd love to look into your account details. Please send us a DM with the email address linked to your account so we can help. /MU
2264872,@115888 is there display difference from device to device ? i downloaded to my android phone  and looks different than what my tablet does. want to know why !!!!!!!!!!!,Device Compatibility,Auto-handle,Hi! What device and operating system are you using? Drop us the details so our team can check this out for you. /CP
1796839,@SpotifyCares  How can I pay in advance for premium family subscription? thanks,Billing/Premium Subscription,Auto-handle,Hi there! We'd love to look into your account details. Please send us a DM with the email address linked to your account so we can help. /MU
1568973,"@115888 I followed a playlist, Indie Electronica
which then became Lush and Atmospheric
then Lush and Atmospheric Acoustic
then I unfollowed.",General Inquiry,Auto-handle,Hi there! Thanks for reaching out. Send us a DM with more info so we can help you sort this out. /AY
1791316,Why is X’s music getting removed from @115888??,General Inquiry,Auto-handle,Hi there! Thanks for reaching out. Send us a DM with more info so we can help you sort this out. /AY
2019455,@117153 I have payed my Spotify premium monthly for several years but suddenly I only get Spotify free. What has happened?,Billing/Premium Subscription,Auto-handle,Hi there! We'd love to look into your account details. Please send us a DM with the email address linked to your account so we can help. /MU
240331,"@SpotifyCares I have a problem with Shuffle, it doesn't work in my car (Mazda 6 2014)..  when I connect, the shuffle sign turns off..",General Inquiry,Auto-handle,Hi there! Thanks for reaching out. Send us a DM with more info so we can help you sort this out. /AY
2439883,@115888 where’s #reputation at?,General Inquiry,Auto-handle,Hi there! Thanks for reaching out. Send us a DM with more info so we can help you sort this out. /AY
664261,@SpotifyCares Woop it worked thanks ❤,General Inquiry,Auto-handle,Hi there! Thanks for reaching out. Send us a DM with more info so we can help you sort this out. /AY
2239775,Why doesn’t @115888 have Reputation yet?,General Inquiry,Auto-handle,Hi there! Thanks for reaching out. Send us a DM with more info so we can help you sort this out. /AY
2027653,@117153 Where's my tunes? :(,General Inquiry,Auto-handle,Hi there! Thanks for reaching out. Send us a DM with more info so we can help you sort this out. /AY
2843563,@115888 What happened to #housewerk?! Bring back cross-fades!,General Inquiry,Auto-handle,Hi there! Thanks for reaching out. Send us a DM with more info so we can help you sort this out. /AY
973437,"@SpotifyCares Even if I try to put in a row of songs, it gives the error can't put it in waiting row. Very weird bug. https://t.co/OzRGko0Y4U",General Inquiry,Auto-handle,Hi there! Thanks for reaching out. Send us a DM with more info so we can help you sort this out. /AY
1075636,@115888 why don’t you guys have scrolling titles on iOS? I don’t know who on the song!!!,Device Compatibility,Auto-handle,Hi! What device and operating system are you using? Drop us the details so our team can check this out for you. /CP
2916678,Is @115888 down this morning?,General Inquiry,Auto-handle,Hi there! Thanks for reaching out. Send us a DM with more info so we can help you sort this out. /AY
1860280,@115888 are DW playlists now only updated every other week? :(,General Inquiry,Auto-handle,Hi there! Thanks for reaching out. Send us a DM with more info so we can help you sort this out. /AY
1609242,@SpotifyCares Just an example but problem is specific to #Chromecast and exists for all albums https://t.co/lxX2gIf5Qv,General Inquiry,Auto-handle,Hi there! Thanks for reaching out. Send us a DM with more info so we can help you sort this out. /AY
2216040,"@115888 fix your 10,000 song cap! Why would you put a limit on music saved and hype up new releases every Friday?!!?",General Inquiry,Auto-handle,Hi there! Thanks for reaching out. Send us a DM with more info so we can help you sort this out. /AY
2095109,"@SpotifyCares okay, here it's happening again: https://t.co/K8yCvOe0om",General Inquiry,Auto-handle,Hi there! Thanks for reaching out. Send us a DM with more info so we can help you sort this out. /AY
1159721,"@SpotifyCares I keep having playback problems, every few tracks playback will stop for no apparent reason and need manually restarting",Playback/Skipping Issue,Auto-handle,"Hi there! Sorry to hear about the playback trouble. Could you try logging out, restarting your device, and logging back in? Let us know how it goes! /AY"
1339983,@115888 can you please add the ability to remove artists from your generated playlists. Its pretty stupid you dont have this.,General Inquiry,Auto-handle,Hi there! Thanks for reaching out. Send us a DM with more info so we can help you sort this out. /AY
1930247,"@SpotifyCares how do I connect my Spotify to Facebook? ATM I receive 'Sorry there has been a temporary error, please try again late'",General Inquiry,Auto-handle,Hi there! Thanks for reaching out. Send us a DM with more info so we can help you sort this out. /AY
